Palavra,Frequencia
morta,139
minuto,139
estacao,139
teatros,139
sabado,139
afeto,139
suma,139
proposta,139
criaturas,139
porcao,139
abre,139
aborrecido,138
resta,138
proxima,138
pescoco,138
estaria,138
dificuldade,138
modestia,138
imagina,138
separacao,138
tuas,138
acoes,138
entrei,138
util,138
convite,137
levantando,137
comeco,137
padrinho,137
catarina,137
x,137
seriam,137
silvestre,137
pensei,137
hesitou,136
lancou,136
tira,136
chegara,136
varias,136
desastre,136
linda,136
vencer,136
francisca,135
tiberio,135
cuidados,135
grupo,135
vinho,135
cronica,135
compreender,134
antigos,134
conquanto,134
ira,134
descobriu,134
visao,134
quantos,134
conhecido,134
desgraca,134
programa,134
jesus,133
podendo,133
escrivao,133
correio,133
escravos,133
curta,133
pensamentos,133
escrita,133
serve,133
ocasioes,133
sa,133
assembleia,133
beatriz,133
divino,133
vais,133
chave,133
elementos,132
colegio,132
consideracao,132
inimigo,132
obter,132
ilha,132
salvar,132
partir,132
preta,132
pressa,132
gaspar,132
amada,132
ido,131
prazo,131
interesses,131
dramatico,131
martins,131
defeito,131
cavalcante,131
palido,131
chegada,131
caminha,131
setembro,130
et,130
duzentos,130
ficam,130
contando,130
maiores,130
infancia,130
nascer,130
procedimento,130
joelhos,129
remorso,129
anjos,129
ideal,129
estados,129
opera,129
paredes,129
recurso,129
querendo,129
venus,128
rapariga,128
certas,128
deitar,128
castelo,128
deixo,128
xavier,128
fique,128
seabra,128
folhetim,128
recebi,127
frases,127
palmas,127
teto,127
sapatos,127
barbosa,127
jupiter,127
cosme,127
lisboa,127
morais,127
gazeta,127
diferente,127
virgem,127
sorrir,127
habitos,126
irei,126
chamado,126
batia,126
camila,126
empregado,126
repetir,126
valeria,126
conosco,126
episodio,126
valerio,126
civilizacao,126
vulto,126
reforma,126
casaca,126
valem,125
dignidade,125
principios,125
estranha,125
escuro,125
mostrava,125
cargo,125
aceito,125
inteligencia,125
contraste,125
alcova,125
fechar,125
descoberta,125
tremula,125
harmonia,124
marcelina,124
mudar,124
causas,124
musas,124
lentamente,124
defronte,124
tamanho,124
sepultura,124
tome,124
cantos,124
comecar,124
altura,124
replicou,124
dores,124
douvres,124
rocha,123
ministros,123
discussao,123
corre,123
diogo,123
falavam,123
curto,123
apresentou,123
outubro,123
levado,123
prestes,123
bateu,123
experiencia,123
m,122
conselhos,122
levanta,122
solucao,122
moda,122
obrigacao,122
leito,122
calcas,122
infinito,122
tardou,122
precisava,122
digna,122
andam,122
francesa,122
espada,122
parlamento,121
sofa,121
varios,121
fantasia,121
segundos,121
humanas,121
rapidamente,121
ardor,121
vilela,121
acontecimento,121
partidos,121
achado,121
raras,121
alegres,121
escrevi,121
acontece,121
senador,121
ridiculo,121
talentos,120
coroa,120
lados,120
personagens,120
alienista,120
andre,120
passear,120
distinto,120
chegado,120
geracao,120
convem,120
invencao,120
celebre,120
agosto,120
irmaos,120
graciosa,120
empresa,120
contigo,120
leonor,120
literario,119
sessao,119
luiza,119
concluir,119
cadeiras,119
povos,119
rapido,119
pertence,119
aberto,119
aparecia,119
dedo,119
sentado,119
acompanhar,119
hipotese,119
compreendo,119
criacao,119
genro,118
consolacao,118
cores,118
feicao,118
est,118
ante,118
almocar,118
monica,118
refletiu,118
conde,118
j,118
intima,118
figuras,118
artistas,118
batalha,118
fortes,118
colega,118
agradavel,118
objetos,118
feio,118
pontos,117
passam,117
punha,117
amelia,117
heroi,117
feitos,117
conhecimento,117
missao,117
calou,117
importante,117
vii,117
continua,117
defeitos,117
supunha,117
fara,117
cabe,116
recuou,116
rica,116
centro,116
doze,116
entregue,116
dura,116
trabalhar,116
fiel,116
reuniao,116
ves,116
engenho,116
delirio,116
feitas,116
velhice,116
indignacao,116
julia,116
pecado,116
sucessos,116
deuses,116
escolho,116
entregou,115
angelica,115
malvina,115
esquece,115
custo,115
ganhar,115
lima,115
rainha,115
vagas,115
soubesse,115
vol,115
perfeicao,114
afirmar,114
antigas,114
procopio,114
seminario,114
sinais,114
despedir,114
duzia,114
constituicao,114
dezembro,114
aproximou,114
reconheceu,114
comparacao,114
espantado,114
magro,114
pau,114
casou,114
inteiro,114
madrugada,114
aonde,113
conseguiu,113
autores,113
fale,113
simao,113
pretendente,113
tijuca,113
lembro,113
cura,113
heranca,113
falemos,113
vivas,113
cuidar,113
sabemos,113
acompanha,113
vizinho,113
censura,113
geralmente,113
propriamente,113
junho,113
perdera,112
vasto,112
escobar,112
bonitas,112
enfermo,112
cumpria,112
epoca,112
misteriosa,112
quantas,112
clemente,112
contemplar,112
medicina,112
merito,112
lugares,112
misterioso,112
cumprir,111
duro,111
vizinhanca,111
imenso,111
estomago,111
saida,111
unicamente,111
oceano,111
perfeita,111
miseria,111
soma,111
bota,111
filhas,111
animais,111
eco,111
disposicao,110
enorme,110
vede,110
tamanha,110
lance,110
loucura,110
referiu,110
votos,110
dormia,110
maximo,110
seguir,110
conheci,110
instituicao,110
mateus,110
verdes,110
assaz,110
responde,110
conservar,110
uniao,110
diferentes,110
veu,110
testamento,110
voltei,110
capricho,110
leocadia,109
arrancar,109
inglesa,109
entende,109
cansado,109
esposo,109
milagre,109
cidadao,109
execucao,109
fisionomia,109
caia,109
nestes,109
representacao,109
voces,108
peso,108
completo,108
desgosto,108
secretaria,108
produziu,108
esperando,108
suspiro,108
beijou,108
levando,108
verao,108
ouco,108
artigos,108
sinceridade,108
periodo,108
pequenos,108
fernandes,107
beijos,107
augusto,107
firme,107
vitima,107
efeitos,107
avo,107
luxo,107
saindo,107
cristo,107
esteja,107
abrindo,107
passada,107
londres,107
pano,107
escolher,107
emilio,107
caridade,107
exposicao,107
recebera,107
iguais,106
visitar,106
acontecer,106
sombras,106
perdia,106
ficasse,106
enterro,106
suspirou,106
resistir,106
bond,106
nuvem,106
riqueza,106
vapor,106
mana,106
tobias,106
ofereceu,106
familiar,106
trecho,106
botafogo,105
borges,105
escrava,105
quinta,105
dom,105
silveira,105
preso,105
tiver,105
soltou,105
lembrancas,105
raca,105
naturais,105
muda,105
exatamente,105
bilhetes,105
pintura,105
amas,105
medida,105
contei,105
notar,105
bengala,105
agitacao,105
moeda,105
